Creativity,Openness to Diverse Cultures,Artistic Interests,Reliability,Attention to Detail,Sociability,Energy Levels,Assertiveness,Compassion,Cooperation,Trust in Others,Altruism,Modesty,Stress Management,Anxiety Levels,Mood Swings,Smoking and Drinking Habits,Cultural Values,LifeStyle Compatibility Score,Interest Match Score,Communication Compatibility,Interaction Potential,Environmental Preference,Core Values Score,Social Engagement Score,Responsibility Score,Openness to Experience Score,Emotional Intelligence Score,Score,Personal Traits and Habits Category_High,Personal Traits and Habits Category_Low,Personal Traits and Habits Category_Medium,Lifestyle and Cultural Preferences Category_High,Lifestyle and Cultural Preferences Category_Low,Lifestyle and Cultural Preferences Category_Medium,max_similarity,mean_top_k_similarity,is_compatible
1,4,2,2,2,3,4,4,3,2,2,2,1,1,1,5,3,1,4.0,2.5,2.4,2.666666666666667,3.0,3.0,2.666666666666667,4.333333333333333,3.5,3.0,3.106666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999997,0.9817662702713342,True
3,3,3,2,0,5,4,5,1,1,1,1,1,1,1,4,4,4,3.8,3.5,4.6,4.666666666666667,3.5,3.0,3.0,3.666666666666667,4.0,3.0,3.673333333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9704818768556699,True
1,4,1,1,1,5,1,5,5,3,2,5,5,1,2,4,2,4,3.8,3.333333333333333,3.0,3.0,2.0,4.0,2.333333333333333,5.0,3.0,2.5,3.196666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999999,0.9818483596011364,True
2,5,5,5,4,4,4,5,4,5,3,3,4,2,5,5,4,2,4.2,2.666666666666667,3.8,2.666666666666667,4.0,4.0,3.333333333333333,4.333333333333333,2.5,3.5,3.5,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.980716336095804,True
4,3,5,5,5,5,2,3,1,3,1,4,2,1,1,5,5,1,4.2,2.666666666666667,2.8,2.333333333333333,4.5,3.0,2.666666666666667,2.333333333333333,3.0,3.0,3.05,0.0,0.0,1.0,1.0,0.0,0.0,1.0000000000000002,0.9763277609576276,True
1,5,1,1,1,3,2,4,2,1,1,3,1,5,3,3,2,4,2.4,3.166666666666667,3.8,3.333333333333333,3.5,2.5,4.0,4.666666666666667,2.0,4.0,3.336666666666667,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9641245045979078,True
2,5,3,1,1,5,3,5,5,3,3,5,4,2,2,4,3,3,3.4,3.166666666666667,3.4,3.0,3.5,2.0,2.666666666666667,3.333333333333333,2.5,3.0,2.996666666666667,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000000000002,0.9860248000797194,True
2,2,3,3,3,5,3,5,5,4,4,4,4,1,1,5,3,4,3.6,3.0,3.6,3.666666666666667,3.5,2.0,3.0,3.0,4.0,3.0,3.236666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999999999994,0.9858030501070247,True
2,4,4,5,4,3,4,5,2,2,1,1,1,5,1,5,4,4,4.0,3.333333333333333,3.4,2.666666666666667,3.0,4.0,3.666666666666667,2.666666666666667,4.5,3.5,3.473333333333334,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999994,0.9754939800360127,True
2,4,3,2,2,5,3,5,4,4,2,4,4,1,1,5,3,2,3.6,3.5,3.4,3.333333333333333,4.0,2.5,3.0,4.333333333333333,3.0,3.0,3.366666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999999,0.9876976738687654,True
3,2,2,3,4,1,5,1,1,2,1,3,1,2,1,4,4,1,3.6,2.833333333333333,3.4,2.666666666666667,3.0,2.5,3.333333333333333,3.0,3.0,3.0,3.033333333333333,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000000000002,0.9768234015985241,True
3,2,5,2,4,5,2,4,5,5,5,5,4,2,3,3,3,3,3.4,2.5,2.8,4.333333333333333,2.5,3.5,3.666666666666667,4.0,3.5,3.5,3.37,1.0,0.0,0.0,0.0,0.0,1.0,1.0000000000000002,0.9836856664060794,True
2,2,5,2,3,4,3,4,4,4,5,5,5,1,1,5,2,2,2.2,2.833333333333333,3.8,3.333333333333333,3.0,3.0,4.0,2.666666666666667,1.0,3.0,2.883333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9695564259489184,True
1,5,4,3,1,5,3,5,5,4,4,4,5,1,1,5,4,5,4.0,3.666666666666667,3.6,2.666666666666667,4.0,2.5,3.333333333333333,3.666666666666667,4.0,4.5,3.593333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999999999996,0.9863629347688526,True
5,1,5,5,5,4,2,5,2,4,4,4,2,2,2,5,3,2,3.6,3.666666666666667,2.6,4.0,3.0,3.0,3.333333333333333,2.333333333333333,2.5,2.5,3.053333333333333,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9816844860088768,True
3,4,2,3,3,3,4,3,2,3,1,3,1,3,1,3,4,5,3.2,2.333333333333333,3.4,2.666666666666667,3.5,3.0,4.333333333333333,3.333333333333333,2.5,3.5,3.176666666666667,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999999,0.9748304076211394,True
2,4,2,1,3,4,5,3,3,1,1,2,3,2,1,3,4,3,3.2,3.333333333333333,2.4,2.666666666666667,2.5,3.0,2.666666666666667,3.666666666666667,3.0,2.5,2.893333333333334,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999998,0.9746718692121881,True
5,2,5,5,4,2,4,3,2,2,2,2,3,1,3,5,5,4,3.8,3.0,3.0,3.0,3.0,3.0,2.666666666666667,1.666666666666667,3.0,3.0,2.913333333333334,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999999,0.984588635786017,True
2,4,3,1,2,5,2,5,3,5,4,3,3,2,2,4,3,2,3.6,3.166666666666667,3.4,3.333333333333333,3.0,2.5,3.333333333333333,3.333333333333333,3.0,3.5,3.216666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999999,0.9851876201134271,True
3,4,4,2,4,1,2,4,4,4,4,3,3,1,2,4,4,4,3.8,3.0,3.4,3.333333333333333,3.5,3.5,2.666666666666667,2.666666666666667,3.5,3.0,3.236666666666667,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9808749651886017,True
3,2,5,4,5,2,5,2,2,1,1,2,1,1,1,5,5,3,4.0,2.833333333333333,3.2,2.666666666666667,2.5,2.5,3.333333333333333,1.333333333333333,4.0,3.0,2.936666666666667,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9838046087225305,True
2,1,5,2,1,4,0,5,4,1,1,2,4,5,1,5,5,1,4.0,2.166666666666667,1.6,2.666666666666667,3.5,3.5,1.666666666666667,3.333333333333333,2.5,3.0,2.793333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999998,0.9498124711568579,True
2,3,5,3,5,1,4,5,1,1,1,1,1,1,1,5,5,1,3.8,3.833333333333333,3.4,2.333333333333333,5.0,3.0,3.333333333333333,3.666666666666667,4.5,3.0,3.586666666666667,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999998,0.9756825307127135,True
3,3,4,3,4,4,3,4,4,4,5,5,4,3,1,5,5,2,4.0,3.333333333333333,3.4,3.333333333333333,3.0,3.0,3.666666666666667,3.0,2.5,3.5,3.273333333333333,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999999999998,0.9850650081198353,True
4,2,3,2,4,4,2,4,4,4,4,4,3,3,2,3,3,4,2.8,3.0,4.0,3.333333333333333,4.0,2.5,4.666666666666667,1.666666666666667,3.0,3.0,3.196666666666667,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999999999999,0.9832603698584272,True
3,3,4,4,2,2,4,4,3,4,4,2,4,1,2,5,5,3,3.8,2.666666666666667,3.2,3.0,2.0,3.5,3.0,2.0,3.5,3.0,2.966666666666667,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999996,0.9832855546136858,True
2,2,3,2,1,2,4,4,2,2,2,2,2,1,1,4,4,3,3.8,3.0,2.6,2.666666666666667,3.5,3.0,2.333333333333333,3.666666666666667,4.0,3.0,3.156666666666667,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999998,0.9840324197320142,True
3,3,3,2,2,1,2,3,2,3,2,2,4,3,3,2,4,2,3.2,4.0,2.6,2.0,5.0,3.0,2.666666666666667,3.333333333333333,4.5,2.5,3.28,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999996,0.9636998133590435,True
4,1,5,5,5,3,3,4,4,4,4,4,3,3,3,2,5,3,3.2,3.666666666666667,2.8,3.333333333333333,3.0,3.5,3.333333333333333,1.333333333333333,3.0,4.0,3.116666666666666,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9820068962119878,True
1,4,3,2,1,3,2,4,3,3,3,4,3,3,4,3,2,4,3.6,3.0,3.6,2.333333333333333,2.5,2.0,2.333333333333333,4.333333333333333,2.5,3.5,2.97,0.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999998,0.9795674719338369,True
1,3,2,2,4,5,2,5,3,0,4,5,4,3,4,4,1,4,3.2,3.166666666666667,3.6,3.333333333333333,3.0,3.0,3.666666666666667,3.333333333333333,2.5,3.5,3.23,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9646910988672273,True
1,4,4,2,1,2,3,4,2,4,4,2,3,1,1,5,5,5,4.0,3.166666666666667,3.2,3.333333333333333,3.5,3.0,2.666666666666667,1.333333333333333,4.5,3.0,3.17,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999999,0.9722791227815213,True
2,4,4,2,4,2,2,4,2,2,1,1,4,1,1,5,4,2,4.0,2.666666666666667,3.4,2.666666666666667,3.0,3.0,2.333333333333333,3.333333333333333,4.0,2.5,3.09,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999997,0.976701737341946,True
5,2,4,4,4,2,4,4,1,1,1,2,2,1,2,4,4,5,3.4,2.666666666666667,3.0,3.0,3.5,3.5,3.333333333333333,2.0,3.0,3.0,3.04,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999997,0.9836326704185826,True
2,5,2,3,4,4,3,5,4,4,4,4,4,2,3,4,2,4,3.6,3.166666666666667,3.6,3.666666666666667,3.5,3.5,4.0,4.0,3.5,3.0,3.553333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999996,0.9870915329812622,True
3,1,3,5,2,4,4,2,1,2,2,1,3,3,1,3,3,3,2.4,3.0,2.8,2.666666666666667,3.0,2.5,2.333333333333333,3.0,3.5,2.5,2.77,0.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999999,0.9683553760171397,True
4,4,4,2,0,5,2,4,2,3,1,3,2,1,2,5,5,5,2.8,3.166666666666667,3.0,3.0,4.5,2.5,2.666666666666667,2.0,4.5,2.0,3.013333333333334,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9642849962584714,True
3,3,2,3,4,2,4,5,2,5,1,4,3,2,3,4,3,3,3.0,3.166666666666667,3.2,4.333333333333333,3.5,3.0,2.333333333333333,4.0,3.5,3.0,3.303333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999998,0.9756752065032309,True
2,3,5,4,5,5,1,5,5,1,5,5,5,4,4,4,5,2,3.4,2.333333333333333,3.6,5.0,2.0,3.0,3.666666666666667,3.333333333333333,2.0,3.5,3.183333333333334,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999999999999,0.9644795672474222,True
5,1,5,5,3,4,3,3,4,3,2,3,1,3,3,1,2,2,2.8,2.0,4.0,2.666666666666667,2.0,2.0,1.666666666666667,2.333333333333333,3.0,3.5,2.596666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999997,0.9632663827401654,True
5,1,5,5,5,3,3,3,3,3,3,3,1,1,3,3,5,3,3.4,3.0,3.8,3.666666666666667,4.0,1.5,3.666666666666667,1.0,2.0,4.0,3.003333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999999,0.9833695010095832,True
4,2,5,4,5,3,4,4,4,3,2,3,2,1,3,5,4,2,4.2,3.333333333333333,2.8,3.666666666666667,3.5,3.0,2.666666666666667,1.666666666666667,2.5,3.0,3.033333333333334,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9855823442708715,True
1,5,2,3,4,3,3,4,3,5,4,3,5,2,1,4,4,1,3.8,3.333333333333333,3.2,2.333333333333333,2.5,3.5,3.333333333333333,4.0,3.5,3.0,3.25,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9752668552564531,True
3,2,4,3,4,2,4,3,2,2,3,2,1,2,1,5,5,4,3.4,3.0,2.4,3.333333333333333,3.5,3.0,3.0,2.666666666666667,2.5,3.0,2.98,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9847125394853566,True
2,4,2,2,3,4,2,2,4,5,5,3,5,2,3,4,2,4,3.6,3.666666666666667,3.6,4.0,3.5,2.5,3.0,3.0,2.5,2.5,3.186666666666667,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.9781287723663198,True
4,2,2,4,4,4,4,2,2,4,4,2,3,2,2,4,4,4,3.6,2.666666666666667,3.2,2.333333333333333,3.0,2.5,3.0,3.333333333333333,3.5,3.5,3.063333333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.97746042434996,True
3,4,2,2,5,4,3,3,5,5,5,4,4,5,2,4,3,3,4.0,3.166666666666667,3.0,3.666666666666667,4.5,3.0,4.0,4.666666666666667,4.0,2.5,3.65,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.9793286536169358,True
1,4,2,1,4,4,2,4,4,3,3,4,5,1,1,4,2,4,4.0,3.166666666666667,3.0,3.666666666666667,4.5,2.5,2.0,3.666666666666667,3.5,2.5,3.25,0.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999996,0.9812256701990224,True
3,3,5,4,5,5,3,5,1,3,3,1,5,2,3,5,5,1,4.2,3.5,3.0,2.333333333333333,3.5,3.0,3.666666666666667,3.0,4.5,4.0,3.47,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.9731135138277687,True
3,4,3,2,3,5,3,4,1,3,2,5,2,4,5,1,4,3,2.4,3.333333333333333,3.0,4.666666666666667,2.5,4.5,2.666666666666667,3.666666666666667,2.5,3.5,3.273333333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0000000000000004,0.9669340788649151,True
1,5,1,1,1,3,1,5,1,1,3,1,1,1,5,1,1,1,3.0,2.0,1.8,1.0,4.0,3.0,3.0,3.666666666666667,3.0,1.0,2.546666666666667,0.0,0.0,1.0,0.0,1.0,0.0,0.9999999999999994,0.9342155108976489,True
2,3,3,4,3,4,2,5,4,4,4,4,5,2,1,4,4,5,3.4,3.5,3.4,4.0,4.0,3.0,3.0,3.333333333333333,3.0,3.0,3.363333333333333,1.0,0.0,0.0,1.0,0.0,0.0,1.0000000000000002,0.9889438932035441,True
2,3,5,2,2,4,2,4,3,4,3,4,4,1,1,5,4,5,3.6,3.333333333333333,3.0,3.0,3.0,2.5,3.333333333333333,3.333333333333333,2.5,3.0,3.06,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999997,0.9839174694235062,True
1,5,3,1,3,2,5,5,5,3,1,1,1,2,1,5,3,2,3.6,3.0,2.6,3.333333333333333,3.0,3.5,3.333333333333333,3.666666666666667,3.0,3.5,3.253333333333333,0.0,0.0,1.0,0.0,0.0,1.0,1.0000000000000002,0.9685916543214809,True
4,2,5,4,4,1,5,2,1,1,1,1,5,1,1,5,5,3,3.6,3.833333333333333,2.8,2.333333333333333,4.5,2.5,3.0,1.666666666666667,3.5,3.0,3.073333333333334,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999999,0.973299188239445,True
1,4,3,2,2,4,3,4,4,4,4,4,3,1,2,5,1,2,3.4,3.166666666666667,3.4,4.0,2.0,3.0,3.666666666666667,4.0,4.0,3.0,3.363333333333334,0.0,0.0,1.0,0.0,1.0,0.0,0.9999999999999997,0.9805946354836411,True
2,4,3,1,4,1,3,3,1,4,3,4,1,5,4,1,2,5,2.6,2.666666666666667,2.8,2.666666666666667,2.5,2.5,4.0,3.666666666666667,2.0,2.5,2.79,0.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999997,0.9630065665073999,True
3,3,4,4,3,2,3,4,3,5,5,2,3,1,1,5,4,2,3.4,2.833333333333333,3.6,2.666666666666667,2.5,3.0,3.333333333333333,2.666666666666667,3.5,3.0,3.05,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999998,0.9827147328001798,True
4,2,5,4,4,2,4,3,3,3,1,3,2,1,2,5,4,5,3.6,3.333333333333333,3.2,3.0,3.5,3.0,3.333333333333333,1.666666666666667,3.0,1.0,2.863333333333333,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999999,0.9821357526442862,True
3,2,5,4,4,4,3,4,4,3,3,5,4,2,5,2,4,4,3.0,3.333333333333333,3.8,3.666666666666667,2.5,3.5,1.333333333333333,1.666666666666667,3.0,3.5,2.93,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999999999998,0.9785982673650666,True
4,3,4,4,4,3,4,5,4,3,4,4,3,5,3,4,3,4,3.6,3.666666666666667,3.2,3.333333333333333,3.0,3.5,3.333333333333333,2.666666666666667,2.5,3.0,3.18,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999999999998,0.9878307265457821,True
1,5,1,1,1,3,1,5,1,1,1,1,3,1,5,1,1,1,3.4,2.666666666666667,2.6,1.0,4.0,3.0,3.0,5.0,3.0,1.0,2.866666666666666,0.0,0.0,1.0,0.0,1.0,0.0,0.9999999999999997,0.9414488497730339,True
4,3,4,3,4,5,2,5,4,5,4,5,5,4,3,4,3,3,4.0,2.833333333333333,3.4,4.333333333333333,3.5,2.0,3.666666666666667,3.0,3.0,3.0,3.273333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999998,0.9866837964889739,True
4,2,4,4,2,2,4,3,2,2,2,1,2,4,1,4,4,3,3.0,2.833333333333333,3.2,2.666666666666667,3.5,2.5,3.333333333333333,2.666666666666667,3.0,3.0,2.97,0.0,0.0,1.0,1.0,0.0,0.0,1.0000000000000002,0.98747607040773,True
2,5,1,2,2,2,2,5,1,4,3,3,4,1,4,4,3,4,3.0,3.333333333333333,3.6,3.666666666666667,3.5,3.0,3.333333333333333,3.666666666666667,3.0,3.0,3.31,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.9750254466277515,True
4,1,5,4,4,4,3,4,1,3,4,5,2,3,3,3,3,3,2.8,2.166666666666667,3.2,3.0,4.0,3.0,4.0,1.666666666666667,3.0,2.5,2.933333333333334,1.0,0.0,0.0,0.0,0.0,1.0,1.0000000000000002,0.9777491667323559,True
3,2,4,3,2,4,3,4,3,2,2,4,1,5,3,4,4,3,3.0,3.0,3.0,3.0,3.0,3.5,3.0,2.333333333333333,2.5,3.0,2.933333333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0000000000000002,0.979941644780277,True
4,4,5,5,5,2,3,3,1,3,1,2,1,1,1,5,5,5,3.8,4.0,3.4,2.333333333333333,5.0,4.5,3.333333333333333,1.333333333333333,2.5,3.0,3.319999999999999,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999998,0.9819040608126933,True
3,3,5,3,4,2,3,3,3,3,1,3,3,5,3,4,4,1,3.6,3.166666666666667,3.6,3.0,3.5,3.5,3.0,2.666666666666667,4.0,4.0,3.403333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999998,0.9826974278138978,True
4,2,4,3,4,4,2,4,4,5,5,5,5,2,5,4,4,4,4.0,2.833333333333333,4.0,3.333333333333333,4.5,3.0,2.666666666666667,2.666666666666667,1.5,3.5,3.2,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999999999994,0.987482804234547,True
2,5,3,1,2,4,4,4,4,2,2,2,4,4,1,4,3,4,3.0,3.666666666666667,2.6,3.0,3.5,4.0,2.0,4.666666666666667,4.0,2.0,3.243333333333334,0.0,0.0,1.0,1.0,0.0,0.0,0.9999999999999994,0.9781611714329876,True
2,3,5,4,4,3,3,4,4,0,3,5,3,3,3,5,3,3,3.6,3.333333333333333,3.4,3.333333333333333,3.0,3.5,4.0,3.0,3.0,3.0,3.316666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999996,0.9739650530480407,True
1,4,3,2,2,3,3,4,4,4,4,2,4,4,1,3,3,1,3.0,3.5,2.8,3.666666666666667,3.0,3.0,2.333333333333333,3.666666666666667,3.5,3.0,3.146666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.9999999999999992,0.9813235108095458,True
3,2,4,4,4,4,2,5,4,4,3,5,2,1,4,4,4,4,3.6,3.5,3.0,3.0,5.0,3.5,2.333333333333333,2.666666666666667,2.5,3.0,3.21,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999999999998,0.9851700943653958,True
